ok	pageid	title	yomi
	36813	颯	()()<ref>唐宋代の音は音節末子音[p̚]の入声[sap]。日本語においては、単独音では「そう」となるものの、ksth（[ʔ]）音の前で促音化するという性質により、「颯爽」を「さっそう」と発音することなどから、「さっ」→「さつ」と慣用されたものか</ref>
	36901	萬	<refname="morohashi10093man">『大漢和辞典巻九』（諸橋轍次著、大修館書店）10093ページ「萬」項</ref><refname="shinchou28man">『新潮日本語漢字辞典』（新潮社編、新潮社）28ページ「万」項</ref>、<refname="todo20on">『学研新漢和大字典』（藤堂明保・加納喜光編、学習研究社）20ページ「万」項「音」欄。'''藤堂らは「万」の呉音を「モン」とし、「マン」は慣用音であるとする。'''</ref><refname="morohashi10093man"/><refname="shinchou28man"/><refname="todo20on"/>
	36957	黃	（ワウ）（クワウ）
	37410	喃	()、一説に（）()
	37460	垪	()「坈」はにを典拠に「乳勇切音宂」とある。
	38317	糅	（）、ジュウ（ジウ）
o	38436	臧	ゾウ、ソウ
	38782	鍄	・()
	39378	腊	（臘の簡体字としての場合()）（臘の簡体字としての場合()）
o	39468	諱	キ、キ
	39515	贇	{{音|オン}}(){{音|イン}}()
	39826	鶫	（「国字」なので、原理上ないが、「鶇」と別字認識をしないため、それに従う）()()
	40843	乄	''無し''
o	46943	埿	デイ
o	49358	孼	ゲツ
o	49516	稂	ロウ、ロウ
	51254	敎	(ケウ)(カウ)
	52248	畓	()<ref>宮嶋博史は『両班（ヤンバン）』〈中公新書〉1258、1995年。ISBN4121012585のp.71で、が似ていてしかも同音である「」から、「{{ふりがな|&#30035;|タㇷ゚}}（'''とう'''）」という音を示している。</ref>
	53392	槗	（「」の読み）
	54519	鮬	以上、「」「」「」「」の読みに共通。以下、出所不詳、
	64529	閒	（あり）
o	74658	吧	ハ、ハ
	74904	碰	（要確認）
	76632	圳	（華南地方の都市名「」をしたもの）
	78356	龖	()()<!--讀若沓。徒合切-->
	79550	彅	無し。
	88137	壎	、<!--辞書によっては-->、()
	88139	媠	（＞、）
o	88884	袓	ゾ、ショ、ソ
	99592	偽	（・表外）、（）ガ（グヮ・表外）、ギ（グヰ）（・表外、）
o	102849	趟	チョウ、ジョウ、チョウ、ショウ
o	104038	傻	サ、サ
	120453	眯	呉音、漢音、
	121109	刁	、（テウ）
	126234	藿	、（まれ）、（まれ）
	130686	𩿡	<!--《廣韻》徒哀切《集韻》堂來切-->
	131798	鱓	（語義1）、（語義2）（語義1）、（語義2）
	131800	䱇	<!--上演切-->
	131811	𩹉	<!--《廣韻》甫微切《集韻》匪微切-->
o	143441	粼	リン
	151342	疤	<!--邦加切-->
	153583	臤	<!--《廣韻》苦閑切《集韻》丘閑切《集韻》丘耕切輕煙切丘寒切-->{{音|ケン}}{{音|カン}}
	158106	㲋	<!--《唐韻》丑略切-->
	163625	鮶	<!--廣韻で「舉云切」、「集韻」で「拘云切」であり、これは「君」「軍」の反切に一致。「軍」の「グン」は慣用音だから除外、「キン」は由来不明のため除外-->
	164758	叼	、（テウ）
	165453	煆	<!--呼訝切-->
o	165457	墲	モ、ム、ボ、ブ
	188197	𩵺	{{漢字音未詳}}
	188198	𩵑	{{漢字音未詳}}
	193868	痵	<!--「其季切」で「悸」に一致-->
	209899	𣎆	<!--郎果切-->
	223933	𨝈	・・
	237842	彘	<!--直例切-->
	253411	畐	<!--房六切服、芳六切-->/<!--房六切伏-->/<!--芳逼切、拍逼切--><!--房六切、芳六切-->/<!--芳逼切、拍逼切-->
	259616	𦬇	<!--康煕字典における「茻」の反切「文紡切」に従う-->
	259748	鼉	<ref>康煕字典「《集韻》《韻會》《正韻》唐何切，𠀤音」より、「」の呉音・漢音を採った。なお、「《唐韻》徒何切」であれば「」に一致。</ref>、ダン、ゼン<ref>「呉音ダン、漢音タン」「呉音ゼン、漢音セン」は英語版ウィクショナリーより、これらは、康煕字典からは導き出し得ず。おそらく、音符の「（「タン」系の他「セン」形の音もある。cf.）」、又は、同義別音である「（《唐韻》常演切《集韻》《韻會》《正韻》上演切）」の音を付会したものだろう。なお、康煕字典には、「鱓」が「鼉」と同義の場合は「《集韻》唐何切」とあるので、「ダン、タン」「ゼン、セン」の音を当てるのは適当でないと考えられる。</ref>、タン、セン
	262369	㫃	<!--「於幰切」、及び、説文解字中「讀若偃」より-->
	262612	玴	<!--吉曳切-->、<!--餘制切--><!--吉曳切-->、<!--餘制切-->
o	270103	豅	ロウ、ロウ
o	270108	闦	ゴン
o	271179	癙	ショ
o	273353	䲆	セン、ソ
o	275747	䖇	ウツ
