	35163	頬	（「」とも。）
	35689	此	・
	35839	呪	（活用形）
	35935	裾	すそ
	35977	汰	（すべて表外）
	35987	岱	地名ぬた（（おお'''ぬた'''やま））
	36035	椎	（いずれも表外）
	36158	頓	（いずれも表外）
	36268	汎	常用漢字表外、、、、
	36394	貌	（いずれも表外）
	36704	冖	常用漢字表外、
	36712	冪	常用漢字表外、
	36828	頰	（「」とも。）
	37080	趙	、、すばしこ・い
	37460	垪	地名・人名での「（はが）」としての用例のみで、単独では用いられない。
	37480	壥	みせ
	37602	廾	特殊な慣用読みニジュウ（「」の意）
	37612	彭	常用漢字表外
	38127	畭	地名・人名
	38436	臧	よいおさめるかくすまいないしもべ
	38563	蚶	きさ
	38782	鍄	かすがい、こえ
	39507	賁	常用漢字表外、、、
	39610	颱	たいふう
	39737	媽	（常用漢字表外）
	46297	髙	、、、用字の区分時には「はしごだか」と呼称
	65891	𠔻	無し
	120297	㐅	いつ-つ
	129125	妸	なし
	129129	鵶	表外漢字
	130378	𦜝	表外漢字
	130784	涂	常用漢字表外
	131811	𩹉	とびうお
	139789	頉	なし
	149824	蒁	無し
	149825	芛	無し
	149965	咊	なし
	150072	珏	なし
	150078	珉	なし
	163625	鮶	、、{{要出典範囲|}}
	173822	鈾	ウラン
	174835	鈦	チタン、チタニウム
	180430	釷	トリウム
	243797	㒱	表外、、
