pageid	title	busyu	sokaku	edu_kanji	joyo_kanji	onyomi	kunyomi	jiscode	kuten
27449	霜	*{{部首|雨|9}}	*{{総画|17}}		[[Category:常用漢字|そう]]	* 音読み,** [[呉音]]: [[ショウ]],** [[漢音]]: [[ソウ]]	* 訓読み: [[しも]]	** [[JIS]]*** 16進：417A	** [[区点]]：1面33区90点
27475	表	*{{部首|衣|3}}	*{{総画|8}}	[[Category:教育漢字 第3学年|ひよう ひょう]]	[[Category:常用漢字|ひよう ひょう]]	* 音読み,** [[呉音]] [[漢音]] : [[ヒョウ]]	* 訓読み : [[おもて]]、[[あらわす|あら（わ）-す]]、[[あらわれる|あら（わ）-れる]]	** [[JIS]]*** 16進：493D	** [[区点]]：1面41区29点
27483	はらから								
27486	骨	* {{部首|骨|0}}	* {{総画|10|簡=9|繁=10|朝=10|越=10}}	[[Category:教育漢字 第6学年|こつ]]	[[Category:常用漢字|こつ]]	* 音読み,** [[呉音]] : [[コチ]],** [[漢音]] : [[コツ]]	* 訓読み : [[ほね]]	** [[JIS]]*** 16進：397C	** [[区点]]：1面25区92点
27506	解	*{{部首|角|6}}	*{{総画|13}}	[[Category:教育漢字 第5学年]]	[[Category:常用漢字]]	* 音読み,** [[呉音]] : [[ケ]]、[[ゲ]],** [[漢音]] : [[カイ]]	* 訓読み,** 常用漢字表内,**: [[とく|と-く]]、[[とける|と-ける]]、[[とかす|と-かす]],** 常用漢字表外,**: [[わかる|わか-る]]、[[さとる|さと-る]]、[[ほどく|ほど-く]]、[[ほどける|ほど-ける]]、[[ほぐれる|ほぐ-れる]]、[[ほぐす|ほぐ-す]]、[[ほつれる|ほつ-れる]]	** [[JIS]]*** 16進：3272	** [[区点]]：1面18区82点
27589	譯	*{{部首|言|13}}	*{{総画|20}}			* 音読み,** [[呉音]] : [[ヤク]],** [[漢音]] : [[エキ]]	* 訓読み : [[わけ]]	** [[JIS]]*** 16進：6C23	** [[区点]]：1面76区03点
27590	訳	*{{部首|言|4}}	*{{総画|11}}	[[Category:教育漢字 第6学年|やく]]	[[Category:常用漢字|やく]]	* 音読み,** [[呉音]] : [[ヤク]],** [[漢音]] : [[エキ]]	* 訓読み : [[わけ]]	** [[JIS]]*** 16進：4C75	** [[区点]]：1面44区85点
27647	痛	*{{部首|疒|7}}	*{{総画|12}}	[[Category:教育漢字 第6学年|つう]]	[[Category:常用漢字|つう]]	* 音読み,** [[呉音]] : [[ツウ]],** [[漢音]] : [[トウ]]	* 訓読み : [[いたい|いた-い]]、[[いたむ|いた-む]]、[[いためる|いた-める]]	** [[JIS]]*** 16進：444B	** [[区点]]：1面36区43点
27648	涼	*{{部首|水|8}}	*{{総画|11}}		[[Category:常用漢字|りょう]]	* 音読み,** [[呉音]] : [[ロウ]]（[[ラウ]]、表外）,** [[漢音]] : [[リョウ]]([[リャウ]])	* 訓読み,** 常用漢字表内,**: [[すずしい|すず-しい]]、[[すずむ|すず-む]],** 常用漢字表外,**: [[すずやか|すず-やか]]、[[うすい|うす-い]]、[[ひやす|ひや-す]]、[[まことに]]、[[りょ]]	** [[JIS]]*** 16進：4E43	** [[区点]]：1面46区35点
27681	起	*{{部首|走|3}}	*{{総画|10}}	[[Category:教育漢字 第3学年|き]]	[[Category:常用漢字|き]]	* 音読み,** [[呉音]] : [[コ]],** [[漢音]] : [[キ]]	* 訓読み,** 常用漢字表内,**: [[おきる|お-きる]]、[[おこす|お-こす]]、[[おこる|お-こる]],** 常用漢字表外,**: [[おこす|おこ-す]]、[[たつ|た-つ]]	** [[JIS]]*** 16進：352F	** [[区点]]：1面21区15点
27762	箙	*{{部首|竹|8}}	*{{総画|14}}			* 音読み,** [[呉音]] : [[ブク]],** [[漢音]] : [[フク]]	* 訓読み : [[えびら]]	** [[JIS]]*** 16進：6439	** [[区点]]：1面68区25点
27784	政	*{{部首|攴|5}}	* {{総画|9}} <!-- en版での総画数=8 -->	[[Category:教育漢字 第5学年|せい]]	[[Category:常用漢字|せい]]	* 音読み,** [[呉音]] : [[ショウ]],** [[漢音]] : [[セイ]]	* 訓読み : [[まつりごと]]	** [[JIS]]*** 16進：402F	** [[区点]]：1面32区15点
27786	終	*{{部首|糸|5}}	*{{総画|11}}	[[Category:教育漢字 第3学年|しゆう しゅう]]	[[Category:常用漢字|しゆう しゅう]]	* 音読み,** [[呉音]] : [[シュ]],** [[漢音]] : [[シュウ]]［シュゥ］	* 訓読み,** 常用漢字表内,**: [[おわる|お-わる]]、[[おえる|お-える]],** 常用漢字表外,**: [[しまう|しま-う]]、[[つい]]、[[ついに|つい-に]]、[[はて]]	** [[JIS]]*** 16進：3D2A	** [[区点]]：1面29区10点
27872	変	*{{部首|夊|6}}	*{{総画|9}}	[[Category:教育漢字 第4学年|へん]]	[[Category:常用漢字|へん]]	* 音読み,** [[呉音]] [[漢音]] : [[ヘン]]	* 訓読み : [[かわる|か-(わ)る]]、[[かえる|か-える]]	** [[JIS]]*** 16進：4A51	** [[区点]]：1面42区49点
27873	寒	*{{部首|宀|9}}	*{{総画|12}}	[[Category:教育漢字 第3学年|かん]]	[[Category:常用漢字|かん]]	* 音読み,** [[呉音]] : [[ガン]],** [[漢音]] : [[カン]]	* 訓読み : [[さむい|さむ-い]]、[[さむさ|さむ-さ]]	** [[JIS]]*** 16進：3428	** [[区点]]：1面20区08点
27874	富	*{{部首|宀|9}}	*{{総画|12}}	[[Category:教育漢字 第5学年]]	[[Category:常用漢字]]	* 音読み,** [[呉音]] : [[フ]],** [[漢音]] : [[フウ]]	* 訓読み :,** 常用漢字表内,**: [[とむ|と-む]]、[[とみ]],** 常用漢字表外,**: [[とます|と-ます]]、[[ゆたか]]	** [[JIS]]*** 16進：4959	** [[区点]]：1面41区57点
27936	洋	*{{部首|水|6}}	*{{総画|9}}	[[Category:教育漢字 第3学年|よう]]	[[Category:常用漢字|よう]]	* 音読み,** [[呉音]] [[漢音]] : [[ヨウ]]（[[ヤゥ]]）	* 訓読み,** 常用漢字表外 : [[うみ]]、[[ひろい|ひろ-い]]	** [[JIS]]*** 16進：4D4E	** [[区点]]：1面45区46点
27937	軽	*{{部首|車|5}}	*{{総画|12}}	[[Category:教育漢字 第3学年|けい]]	[[Category:常用漢字|けい]]	* 音読み,** [[呉音]] : [[キョウ]],** [[漢音]] : [[ケイ]],** [[唐音]] : [[キン]]	* 訓読み : [[かるい|かる-い]]、[[かろやか|かろ-やか]]、[[かろんじる|かろ-んじる]]	** [[JIS]]*** 16進：375A	** [[区点]]：1面23区58点
27957	和	*{{部首|口|5}}	*{{総画|8}}	[[Category:教育漢字 第3学年|わ]]	[[Category:常用漢字|わ]]	* 音読み,** [[呉音]] : [[ワ]],** [[漢音]] : [[カ]],** [[唐音]] : [[オ]]	* 訓読み,** 常用漢字表内,**: [[なごむ|なご-む]]、[[なごやか|なご-やか]]、[[やわらぐ|やわ-らぐ]]、[[やわらげる|やわ-らげる]],** 常用漢字表外,**: [[たけ]]、[[ち]]、[[とも]]、[[にぎ]]、[[まさ]]、[[やす]]、[[よし]]、[[より]]、[[わだこ]]、[[かつり]]、[[いず]]、[[かず]]、[[あい]]	** [[JIS]]*** 16進：4F42	** [[区点]]：1面47区34点
27992	位	*{{部首|人|5}}	*{{総画|7}}	[[Category:教育漢字 第4学年|い]]	[[Category:常用漢字|い]]	* 音読み,** [[呉音]] [[漢音]] : [[イ]]（ヰ）	* 訓読み : [[くらい]]	** [[JIS]]*** 16進：304C	** [[区点]]：1面16区44点
27993	略	*{{部首|田|6}}	*{{総画|11}}	[[Category:教育漢字 第5学年|りやく りゃく]]	[[Category:常用漢字|りやく りゃく]]	* 音読み,** [[呉音]] : [[ラク]],** [[漢音]] : [[リャク]]		** [[JIS]]*** 16進：4E2C	** [[区点]]：1面46区12点
27994	學	*{{部首|子|13}}	*{{総画|16}}			* 音読み :,** [[呉音]] 、[[漢音]] : [[ガク]]	* 訓読み :[[まなぶ]]	** [[JIS]]*** 16進：555C	** [[区点]]：1面53区60点
27996	國	*{{部首|囗|8}}	*{{総画|11}}			* 音読み :,** [[呉音]] [[漢音]] : [[コク]]	* 訓読み : [[くに]]	** [[JIS]]*** 16進：5422	** [[区点]]：1面52区2点
28005	代	*{{部首|人|3}}	*{{総画|5}}	[[Category:教育漢字 第3学年|たい だい]]	[[Category:常用漢字|たい だい]]	* 音読み,** [[呉音]] : [[ダイ]],** [[漢音]] : [[タイ]]	* 訓読み : [[かわる|か-(わ)る]]、[[かえる|か-える]]、[[よ]]、[[しろ]]	** [[JIS]]*** 16進：4265	** [[区点]]：1面34区69点
28085	活	*{{部首|水|6}}	*{{総画|9}}	[[Category:教育漢字 第2学年|かつ]]	[[Category:常用漢字|かつ]]	* 音読み,** [[呉音]] : [[ガチ]](表外),** [[漢音]] : [[カツ]]	* 訓読み,** 常用漢字表内,**: 常用漢字表内の訓読みはありません。,** 常用漢字表外,**: [[いきる|い-きる]]、[[いかす|い-かす]]、[[いける|い-ける]]	** [[JIS]]*** 16進：3368	** [[区点]]：1面19区72点
28097	伝	*{{部首|人|4}}	*{{総画|6}}	[[Category:教育漢字 第4学年|てん でん]]	[[Category:常用漢字|てん でん]]	* 音読み,** [[呉音]] : [[デン]],** [[漢音]] : [[テン]]	* 訓読み : [[つたえる|つた-える]]、[[つたわる|つた-わる]]、[[つて]]	** [[JIS]]*** 16進：4541	** [[区点]]：1面37区33点
28106	電	*{{部首|雨|5}}	*{{総画|13}}	[[Category:教育漢字 第2学年|てん でん]]	[[Category:常用漢字|てん でん]]	* 音読み,** [[呉音]] : [[デン]],** [[漢音]] : [[テン]]	* 訓読み,** 常用漢字表内,**: 常用漢字表内の訓読みは有りません。,** 常用漢字表外,**: [[いなずま]]	** [[JIS]]*** 16進：4545	** [[区点]]：1面37区37点
28124	激	*{{部首|水|13}}	*{{総画|16}}	[[Category:教育漢字 第6学年|けき げき]]	[[Category:常用漢字|けき げき]]	* 音読み,** [[呉音]] : [[キャク]],** [[漢音]] : [[ケキ]],** [[慣用音]] : [[ゲキ]]	* 訓読み : [[はげしい|はげ-しい]]	** [[JIS]]*** 16進：3763	** [[区点]]：1面23区67点
28150	深	*{{部首|水|8}}	*{{総画|11}}	[[Category:教育漢字 第3学年|しん]]	[[Category:常用漢字|しん]]	* 音読み,** [[呉音]] [[漢音]] : [[シン]]	* 訓読み : [[ふかい|ふか-い]] [[ふかさ|ふか-さ]] [[ふかめる|ふか-める]],**（熟字訓又は姓氏）[[み]]	** [[JIS]]*** 16進：3F3C	** [[区点]]：1面31区28点
28162	役	*{{部首|彳|4}}	*{{総画|7}}	[[Category:教育漢字 第3学年|やく]]	[[Category:常用漢字|やく]]	* 音読み,** [[呉音]] : [[ヤク]],** [[漢音]] : [[エキ]]		** [[JIS]]*** 16進：4C72	** [[区点]]：1面44区82点
28268	信	*{{部首|人|7}}	*{{総画|9}}	[[Category:教育漢字 第4学年|しん]]	[[Category:常用漢字|しん]]	* 音読み,** [[呉音]] [[漢音]] : [[シン]]	* 訓読み : [[まこと]]・まか-せる・まか-す・たよ-る・たよ-り（表外）。	** [[JIS]]*** 16進：3F2E	** [[区点]]：1面31区14点
28317	煙	*{{部首|火|9}}	*{{総画|13}}		[[Category:常用漢字|えん]]	* 音読み,** [[呉音]] [[漢音]] : [[エン]]	* 訓読み : [[けむり]]、[[けむる|けむ-る]]、[[けむい|けむ-い]]	** [[JIS]]*** 16進：316C	** [[区点]]：1面17区76点
28319	教	*{{部首|攴|7}}	*{{総画|11}}	[[Category:教育漢字 第2学年|きよう きょう]]	[[Category:常用漢字|きよう きょう]]	* 音読み,** [[呉音]] : [[キョウ]] (ケウ),** [[漢音]] : [[コウ]] (カウ)	* 訓読み,** 常用漢字表内,**: [[おしえる|おし-える]]、[[おそわる|おそ-わる]],** 常用漢字表外,**: [[ひさ]]、[[のり]]	** [[JIS]]*** 16進：3635	** [[区点]]：1面22区21点
28548	開	*{{部首|門|4}}	*{{総画|12}}	[[Category:教育漢字 第3学年|かい]]	[[Category:常用漢字|かい]]	* 音読み,** [[呉音]] : [[ケ]]、[[カイ]],** [[漢音]] : [[カイ]]	* 訓読み : [[ひらく|ひら-く]]、[[ひらける|ひら-ける]]、[[ひらき|ひら-き]]、[[あく|あ-く]]、[[あける|あけ-る]]、[[あき|あ-き]]	** [[JIS]]*** 16進：332B	** [[区点]]：1面19区11点
28549	止	*{{部首|止|0}}	*{{総画|4}}	[[Category:教育漢字 第2学年|し]]	[[Category:常用漢字|し]]	* 音読み,** [[古音]] : [[ト]],** [[呉音]] : [[シ]],** [[漢音]] : [[シ]]	* 訓読み,** 常用漢字表内,**: [[とまる|と-まる]]、[[とめる|と-める]],** 常用漢字表外,**: [[とどまる|とど-まる]]、[[とどめる|とど-める]]、[[やめる|や-める]]、[[やむ|や-む]]、[[よす|よ-す]]、ただ	** [[JIS]]*** 16進：3B5F	** [[区点]]：1面27区63点
28576	若	*{{部首|艸|5}}	*{{総画|8}}	[[Category:教育漢字 第6学年|しやく じゃく]]	[[Category:常用漢字|しやく じゃく]]	* 音読み,** [[呉音]] : [[ニャク]]、[[ニャ]],** [[漢音]] : [[ジャク]]、[[ジャ]]	* 訓読み : [[わかい|わか-い]]、[[もし|も-し]]	** [[JIS]]*** 16進：3C63	** [[区点]]：1面28区67点
29351	治	*{{部首|水|5}}	*{{総画|8}}	[[Category:教育漢字 第4学年|ち]]	[[Category:常用漢字|ち]]	* 音読み,** [[呉音]] : [[ジ]] ([[ヂ]]),** [[漢音]] : [[チ]]	* 訓読み : [[おさめる|おさ-める]]、[[おさまる|おさ-まる]]、[[なおす|なお-す]]、[[なおる|なお-る]]	** [[JIS]]*** 16進：3C23	** [[区点]]：1面28区03点
29474	雚	*{{部首|隹|10}}	*{{総画|18}}			* 音読み,** [[呉音]] [[漢音]] : [[カン]]	* 訓読み,*: [[こうのとり]]	** [[JIS]]*** 16進：7B73	** [[区点]]：2面91区76点
29480	切	*{{部首|刀|2}}	*{{総画|4}}	[[Category:教育漢字 第2学年|せつ]]	[[Category:常用漢字|せつ]]	* 音読み,** [[呉音]] : [[セチ]]、[[サイ]],** [[漢音]] : [[セツ]]、[[セイ]]	* 訓読み : [[きる|き-る]]、[[きれる|き-れる]]	** [[JIS]]*** 16進：405A	** [[区点]]：1面32区58点
29505	央	*{{部首|大|2}}	*{{総画|5}}	[[Category:教育漢字 第3学年|おう]]	[[Category:常用漢字|おう]]	* 音読み	* 訓読み : [[なかば|なか-ば]] （常用外）	** [[JIS]]*** 16進：317B	** [[区点]]：1面17区91点
29577	成	*{{部首|戈|3}}	*{{総画|6}}	[[Category:教育漢字 第4学年|せい]]	[[Category:常用漢字|せい]]	* 音読み,** [[呉音]] : [[ジョウ]],** [[漢音]] : [[セイ]]	* 訓読み : [[なる|な-る]]、[[なす|な-す]]	** [[JIS]]*** 16進：402E	** [[区点]]：1面32区14点
29599	少	*{{部首|小|1}}	*{{総画|4}}	[[Category:教育漢字 第2学年|しよう しょう]]	[[Category:常用漢字|しよう しょう]]	* 音読み,** [[呉音]] [[漢音]] : [[ショウ]]（[[セウ]]）	* 訓読み : [[すくない|すく-ない]]、[[すこし|すこ-し]]、わか-い	** [[JIS]]*** 16進：3E2F	** [[区点]]：1面30区15点
29600	嫌	*{{部首|女|10}}	*{{総画|13}}		[[Category:常用漢字|けん]]	* 音読み,** [[呉音]] : [[ゲン]],** [[漢音]] : [[ケン]]	* 訓読み : [[きらう|きら-う]]、[[きらい|きら-い]]、[[いや]]	** [[JIS]]*** 16進：3779	** [[区点]]：1面23区89点
29615	冷	*{{部首|冫|5}}	*{{総画|7}}	[[Category:教育漢字 第4学年|れい]]	[[Category:常用漢字|れい]]	* 音読み,** [[呉音]] : [[リョウ]],** [[漢音]] : [[レイ]]	* 訓読み : [[つめたい|つめ-たい]]、[[ひえる|ひ-える]]、[[ひやす|ひ-やす]]、[[ひや|ひ-や]]、[[ひやかす|ひ-やかす]]、[[さめる|さ-める]]、[[さます|さ-ます]]	** [[JIS]]*** 16進：4E64	** [[区点]]：1面46区68点
29621	与	*{{部首|一|2}}	* {{総画|3}} <!-- en版での総画数=4 -->		[[Category:常用漢字|よ]]	* 音読み,** [[呉音]] [[漢音]] : [[ヨ]]	* 訓読み : [[あたえる|あた-える]]　/　[[くみする|くみ-する]]	** [[JIS]]*** 16進：4D3F	** [[区点]]：1面45区31点
29648	皮	*{{部首|皮|0}}	*{{総画|5}}	[[Category:教育漢字 第3学年|ひ]]	[[Category:常用漢字|ひ]]	* 音読み,** [[呉音]] : [[ビ]],** [[漢音]] : [[ヒ]]	* 訓読み : [[かわ]]	** [[JIS]]*** 16進：4869	** [[区点]]：1面40区73点
29649	転	*{{部首|車|4}}	*{{総画|11}}	[[Category:教育漢字 第3学年|てん]]	[[Category:常用漢字|てん]]	* 音読み,** [[呉音]] [[漢音]] : [[テン]]	* 訓読み,** 常用漢字表内,**: [[ころがす|ころ-がす]]、[[ころがる|ころ-がる]]、[[ころげる|ころ-げる]]、[[ころぶ|ころ-ぶ]],** 常用漢字表外,**: [[うたた]]、[[うつる|うつ-る]]、[[くるり]]、[[まろぶ|まろ-ぶ]]	** [[JIS]]*** 16進：453E	** [[区点]]：1面37区30点
29749	祭	*{{部首|示|6}}	*{{総画|11}}	[[Category:教育漢字 第3学年|さい]]	[[Category:常用漢字|さい]]	* 音読み,** [[呉音]] : [[サイ]],** [[漢音]] : [[セイ]]	* 訓読み,** 常用漢字表内,**: [[まつり|まつ-り]]、[[まつる|まつ-る]],** 常用漢字表外,**: [[まつり]]	** [[JIS]]*** 16進：3A57	** [[区点]]：1面26区55点
29800	平	* {{部首|干|2}}	* {{総画|5}}	[[Category:教育漢字 第3学年|へい]]	[[Category:常用漢字|へい]]	* 音読み,** [[呉音]] : [[ビョウ]]（ビャゥ）,** [[漢音]] : [[ヘイ]] （[[ヘィ]]）,** [[慣用音]] :[[ヒョウ]]（ [[ヒャゥ]]）	* 訓読み :,** 常用漢字表内 : [[たいら]]、[[ひら]],** 常用漢字表外 : [[ならす|な-らす]]、[[おだやか|おだ-やか]]、[[なみ]]、[[つね]]、{{要出典範囲|[[なり]]}}	** [[JIS]]*** 16進：4A3F	** [[区点]]：1面42区31点
29846	又	*{{部首|又|0}}	*{{総画|2}}		[[Category:常用漢字|ゆう]]	* 音読み,** [[呉音]] : [[ウ]](表外),** [[漢音]] : [[ユウ]](表外)	* 訓読み : [[また]]	** [[JIS]]*** 16進：4B74	** [[区点]]：1面43区84点
29989	為	*{{部首|火|5}}	*{{総画|9}}		[[Category:常用漢字|い]]	* 音読み,** [[呉音]] [[漢音]] : [[イ]]（[[ヰ]]）	* 訓読み : [[ため]]、[[なす|な-す]]、[[なる|な-る]]、[[する|す-る]]	** [[JIS]]*** 16進：3059	** [[区点]]：1面16区57点
30047	英	*{{部首|艸|5}}	*{{総画|8}}	[[Category:教育漢字_第4学年|えい]]	[[Category:常用漢字|えい]]	* 音読み,** [[呉音]] : [[ヨウ]],** [[漢音]] : [[エイ]]、[[エ]]	* 訓読み : （表外）[[はな]] 、[[はなぶさ]]	**[[JIS]]***16進：3151?	**[[区点]]：42区9点
30057	総	*{{部首|糸|8}}	*{{総画|14}}	[[Category:教育漢字 第5学年|そう]]	[[Category:常用漢字|そう]]	* 音読み,** [[呉音]] : [[ス]],** [[漢音]] : [[ソウ]]	* 訓読み : [[すべる|す-べる]]、[[すぶ|す-ぶ]]、[[すべて|すべ-て]]、[[すべて]]、[[ふさ]]	** [[JIS]]*** 16進： 416D	** [[区点]]： 33区77点
30058	発	*{{部首|癶|4}}	*{{総画|9}}	[[Category:教育漢字 第3学年|はつ]]	[[Category:常用漢字|はつ]]	* 音読み,** [[呉音]] : [[ホチ]]、[[ホツ]],** [[漢音]] : [[ハツ]]	* 訓読み : （表外）[[たつ|た-つ]]	** [[JIS]]*** 16進：482F	** [[区点]]：1面40区15点
30221	作	*{{部首|人|5}}	*{{総画|7}}	[[Category:教育漢字 第2学年|さく]]	[[Category:常用漢字|さく]]	* 音読み,** [[呉音]] [[漢音]] : [[サク]]、[[サ]],***入声起源の促音化,***: [[サッ]] (用例：{{ふりがな|作家|さっか|yomilink=n}})	* 訓読み,** 常用漢字表内,**: [[つくる|つく-る]],***連濁等,***: [[づくり]],***: [[つくり|つく-り]] (用例：{{おくりがな3|罪|つみ||作|つく|り|つみつくり}}),***: [[づくり|づく-り]] (用例：{{ふりがな|鹿の子作り|かのこづくり}}),** 常用漢字表外,**: [[なす|な-す]] (用例：{{おくりがな3|色|いろ|を|作|な|す|色を作す}}),**: [[くり]],**: [[まさか]],***熟字訓的用法,***: {{ふりがな|美作|みまさか}},***: {{ふりがな|矢作|やはぎ}},** 人名読み,**: [[あり]]、[[つくり]]、[[つくる]]、[[とも]]、[[なお]]、[[なり]]、[[ふか]]	**[[JIS]]***16進：2678	**[[区点]]：1面26区78点
30222	毎	*{{部首|毋|2}}	*{{総画|6}}	[[Category:教育漢字 第2学年|まい]]	[[Category:常用漢字|まい]]	* 音読み,** [[呉音]] : [[マイ]],** [[漢音]] : [[バイ]] (表外)	* 訓読み,** 常用漢字表外,**: [[ごと]]、[[つね]]、[[むさぼる|むさぼ-る]],** 人名読み,**: [[かず]]、[[つね]]	**[[JIS]]***16進：4372	**[[区点]]：1面43区72点
30224	晴	*{{部首|日|8}}	*{{総画|12}}	[[Category:教育漢字 第2学年|せい]]	[[Category:常用漢字|せい]]	* 音読み,** [[呉音]] : [[ショウ]],** [[漢音]] : [[セイ]]	* 訓読み,** 常用漢字表内,**: [[はれる|は-れる]]、[[はらす|は-らす]],** 常用漢字表外,**: [[はれ|は-れ]]、[[ばれ|ば-れ]],** 人名読み,**: [[きよし]]、[[てる]]、[[なり]]、[[はる]]、[[はれ]]	** [[JIS]]*** 16進：4032	** [[区点]]：1面32区18点
30225	里	*{{部首|里|0}}	*{{総画|7}}	[[Category:教育漢字 第2学年|り]]	[[Category:常用漢字|り]]	* 音読み,** [[呉音]] [[漢音]] : [[リ]]	* 訓読み,** 常用漢字表内,**: [[さと]],** 常用漢字表外,**: [[さ]]、[[みちのり]],** 人名読み,**: [[か]]、[[さとし]]、[[と]]、[[のり]]、[[り]]	**[[JIS]]***16進：4E24	**[[区点]]：1面46区04点
30226	麦	*{{部首|麦|0}}	*{{総画|7}}	[[Category:教育漢字 第2学年|はく ばく]]	[[Category:常用漢字|はく ばく]]	* 音読み,** [[呉音]] : [[ミャク]],** [[漢音]] : [[バク]]	* 訓読み,** 常用漢字表内,**: [[むぎ]],** 人名読み,**: [[む]]	**[[JIS]]***16進：3994	**[[区点]]：1面39区94点
30232	曜	*{{部首|日|14}}	*{{総画|18}}	[[Category:教育漢字 第2学年|よう]]	[[Category:常用漢字|よう]]	* 音読み,** [[呉音]] :ヨウ（ [[エウ]] ）,** [[漢音]] : ヨウ（エウ）	* 訓読み,** 常用漢字表内,**: 常用漢字表内の訓読みはありません,** 常用漢字表外,**: [[かがやく|かがや-く]]、[[ひかり]],** 人名読み,**: [[あきら]]、[[てらす]]、[[てる]]、[[よう]]	**[[JIS]]***16進：4543	**[[区点]]：1面45区43点
30233	友	*{{部首|又|2}}	*{{総画|4}}	[[Category:教育漢字 第2学年|ゆう]]	[[Category:常用漢字|ゆう]]	* 音読み,** [[呉音]] : [[ウ]] (表外),** [[漢音]] : [[ユウ]]（[[イウ]] ）	* 訓読み,** 常用漢字表内 : [[とも]],** 常用漢字表外 :{{要出典範囲|[[みかた]]、[[う]]、[[ど]]|date=2015年9月}},** 人名読み : [[すけ]]、[[ゆ]]、[[ゆう]]	**[[JIS]]***16進：4507	**[[区点]]：1面45区07点
30234	弱	*{{部首|弓|7}}	*{{総画|10}}	[[Category:教育漢字 第2学年|しやく じゃく]]	[[Category:常用漢字|しやく じゃく]]	* 音読み,** [[呉音]] : [[ニャク]] (表外),** [[漢音]] : [[ジャク]]	* 訓読み,** 常用漢字表内,**: [[よわい|よわ-い]]、[[よわまる|よわ-まる]]、[[よわめる|よわ-める]]、[[よわる|よわ-る]],** 常用漢字表外,**: [[ゆわい]]、[[ゆわまる]]、[[ゆわる]]、	** [[JIS]]*** 16進：3C65	** [[区点]]：1面28区69点
30240	社	*{{部首|示|3}}	*{{総画|7}}	[[Category:教育漢字 第2学年|しや しゃ]]	[[Category:常用漢字|しや しゃ]]	* 音読み,** [[呉音]] : [[ジャ]] （表外）,** [[漢音]] : [[シャ]]	* 訓読み,** 常用漢字表内,**: [[やしろ]],** 常用漢字表外,**: [[くみあい]],** 人名読み,**: [[あり]]、[[こそ]]、[[たか]]	**[[JIS]]***16進：2850	**[[区点]]：1面28区50点
30241	考	*{{部首|老|0}}	*{{総画|6}}	[[Category:教育漢字 第2学年|こう]]	[[Category:常用漢字|こう]]	* 音読み,** [[呉音]]  [[漢音]]: [[コウ]]（[[カウ]]）	* 訓読み :,** 常用漢字表内,**: [[かんがえる|かんが-える]],** 常用漢字表外,**: [[かんがえ|かんが-え]],** 人名読み,**: [[たか]]、[[ただ]]、[[ちか]]、[[とし]]、[[なか]]、[[なる]]、[[のり]]、[[やす]]、[[よし]]	** [[JIS]]*** 16進：394D	** [[区点]]：1面25区45点
30242	才	*{{部首|手|0}}	*{{総画|3}}	[[Category:教育漢字 第2学年|さい]]	[[Category:常用漢字|さい]]	* 音読み,** [[呉音]] : [[ザイ]] (表外),** [[漢音]] : [[サイ]]	* 訓読み :,** 常用漢字表内,**: 常用漢字表に訓読みはありません,** 常用漢字表外,**: [[かど]]、[[ざえ]]、[[わずかに]],** 人名読み,**: [[かしこ]]、[[かた]]、[[さ]]、[[たえ]]、[[とし]]、[[もち]]	**[[JIS]]***16進：2645	**[[区点]]：1面26区45点
30251	門	*{{部首|門|0}}	*{{総画|8}}	[[Category:教育漢字 第2学年|もん]]	[[Category:常用漢字|もん]]	* [[音読み]],** [[呉音]] : [[モン]],** [[漢音]] : [[ボン]] ([[表]][[外]])	* [[訓読み]],** [[常用漢字]]表内,**: [[かど]],** 常用漢字表外,**: [[いえ]]、[[じょう]]、[[と]]、[[みうち]]、[[も]],** 人名読み,**: [[かな]]、[[ど]]、[[ひろ]]、[[ゆき]]	**[[JIS]]***16進：4471	**[[区点]]：1面44区71点
30252	線	*{{部首|糸|9}}	*{{総画|15}}	[[Category:教育漢字 第2学年|せん]]	[[Category:常用漢字|せん]]	* 音読み,** [[呉音]] : [[セン]],** [[漢音]] : [[セン]]	* 訓読み :,** 常用漢字表外,**: [[いと]]、[[すじ]]	**[[JIS]]***16進：3294	**[[区点]]：1面32区94点
30253	黄	*{{部首|黄|0}}	*{{総画|11}}	[[Category:教育漢字 第2学年|こう]]	[[Category:常用漢字|こう]]	* 音読み,** [[呉音]] : [[オウ]]（ワウ）,** [[漢音]] : [[コウ]]（クワウ）	* 訓読み :,** 常用漢字表内,**: [[き]]、[[こ]],** 常用漢字表外,**: [[うい]]、[[れい]],** 人名読み,**: [[かつみ]]	**[[JIS]]***16進：1811	**[[区点]]：1面18区11点
30261	走	*{{部首|走|0}}	*{{総画|7}}	[[Category:教育漢字 第2学年|そう]]	[[Category:常用漢字|そう]]	* 音読み,** [[呉音]] : [[ス]] (表外),** [[漢音]] : [[ソウ]]	* 訓読み :,** 常用漢字表内,**: [[はしる|はし-る]],** 常用漢字表外,**: [[はしり]],** 人名読み,**: [[かける]]、[[ゆき]]	**[[JIS]]***16進：3386	**[[区点]]：1面33区86点
30262	池	*{{部首|水|3}}	*{{総画|6}}	[[Category:教育漢字 第2学年|ち]]	[[Category:常用漢字|ち]]	* 音読み,** [[呉音]] : [[ヂ]] (表外),** [[漢音]] : [[チ]]	* 訓読み :,** 常用漢字表内,**: [[いけ]]	**[[JIS]]***16進：3551	**[[区点]]：1面35区51点
